favorite_color,excitement,seat_comfort,ucsd_year,ucsd_major,credits,hr_physical,hr_online,hr_reading,sex
Purple,Very excited,Meh,2,Engineering,16,1-2,1-2,1,F
Teal,Super stoked,Pretty good,3,Physical Sciences,14,1,0,2,M
Yellow,Slightly excited,Meh,2,Data Science,20,0,2,1,F
Black,Super stoked,Meh,1,Data Science,14,0,2,1,M
Yellow,Slightly excited,Meh,3,Engineering,18,"2, for school",1,3,F
yellow,Very excited,Bad,3,Engineering,18,0,0,15,M
Blue,Slightly excited,Bad,2,Data Science,16,0,0.5,1.5,F
Blue,Not at all excited,Meh,4,Social Sciences,22,1/2,1/2,1,M
Green,Slightly excited,Bad,3,Data Science,16,4,1,8,M
Red,Slightly excited,Meh,3,Engineering,12,0,3,5,M
Blue,Slightly excited,Meh,1,Engineering,22,2,0.5,2,F
Pink,Slightly excited,Pretty good,3,Data Science,16,Many,2 hous,Quite,F
silver,Slightly excited,Meh,2,Engineering,20,0,1.5,2.5,M
Black,Slightly excited,Meh,3,Engineering,12,0,2,2,M
Blue,Slightly excited,Bad,4,Engineering,8,3,1,1,M
violet,Very excited,Pretty good,3,Engineering,14,1,2,0.4,M
Orange,Slightly excited,Bad,3,Engineering,14,0,.5,2,M
Orange,Slightly excited,Bad,3,Physical Sciences,16,1,0.5,4,M
Blue,Super stoked,Bad,>4,Data Science,8,0,0,5,M
Pastel Yellow,Very excited,Meh,2,Engineering,16,0.5 but I’m trying to improve that!,about 45min,5-7 (also trying to improve that),F
Black,Super stoked,Meh,2,Data Science,20,0,2,4,M
Purple,Very excited,Bad,3,Data Science,14,2,1,4,F
Purple,Very excited,Meh,3,Engineering,16,1,2,5,M
